CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,LATITUDE,LONGITUDE,INSTNM,State
1,1,19500.0,0.8204,33611.5,0.0348,0.0348,0.1175,0.0199,2.0,2.0,2.0,2.0,0.7115,34.7834,-86.5685,Alabama A & M University,Alabama
1,1,16250.0,0.5397,23117.0,0.0099,0.0,0.0632,0.0135,2.0,0.0,2.0,2.0,0.3505,33.5022,-86.8092,University of Alabama at Birmingham,Alabama
1,2,10500.0,0.7629,26995.0,0.0411,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6839,32.3626,-86.174,Amridge University,Alabama
1,1,16500.0,0.4728,24738.0,0.0273,0.0,0.2566,0.0218,2.0,0.0,2.0,2.0,0.3281,34.7228,-86.6384,University of Alabama in Huntsville,Alabama
1,1,15854.5,0.8735,33452.0,0.045,0.0,0.0,0.0183,2.0,0.0,0.0,2.0,0.8265,32.3643,-86.2957,Alabama State University,Alabama
1,1,17750.0,0.4148,24000.0,0.0068,0.0,0.064,0.0076,2.0,0.0,2.0,2.0,0.2107,33.2144,-87.5458,The University of Alabama,Alabama
1,1,7554.0,0.4777,14144.0,0.0186,0.0669,0.0,0.0,0.0,0.0,0.0,0.0,0.6515,32.9244,-85.9465,Central Alabama Community College,Alabama
1,1,14000.0,0.6277,18832.0,0.0386,0.0,0.0,0.0408,2.0,0.0,0.0,2.0,0.4107,34.8056,-86.9651,Athens State University,Alabama
1,1,10750.0,0.6476,21791.0,0.0,0.0,0.0,0.0018,2.0,0.0,0.0,2.0,0.4006,32.3699,-86.1774,Auburn University at Montgomery,Alabama
1,1,18250.0,0.361,22250.0,0.0051,0.0,0.1491,0.0077,2.0,0.0,2.0,2.0,0.1687,32.6002,-85.4924,Auburn University,Alabama
1,2,21500.0,0.4939,27000.0,0.0033,0.0,0.0033,0.0365,1.0,0.0,1.0,1.0,0.2136,33.5155,-86.8536,Birmingham Southern College,Alabama
1,1,4569.0,0.1948,7000.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116,32.4239,-85.0315,Chattahoochee Valley Community College,Alabama
1,2,8050.0,0.91,26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8363,32.4223,-87.0242,Concordia College Alabama,Alabama
1,3,9500.0,0.7543,27167.0,0.0735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7131,32.3427,-86.2165,South University-Montgomery,Alabama
